href,2021-01-01,2021-01-02
1099615,66.0,66.0
1055823,120.0,120.0
1092075,120.0,120.0
1035867,59.99,59.99
1067703,59.95,59.95
1139554,90.0,90.0
1069163,159.0,159.0
727553,65.0,65.0
1140376,35.0,35.0
1070912,99.98,99.98
836487,55.0,55.0
1136315,99.95,99.95
1143719,129.0,129.0
829312,649.95,649.95
1125115,43.99,43.99
1114409,280.0,280.0
1056123,85.0,85.0
1114380,80.0,80.0
1131506,60.0,60.0
836541,70.0,70.0
1136316,110.0,110.0
1076681,89.98,89.98
1178001,134.5,134.5
1099918,82.45,82.45
1070918,99.98,99.98
1061774,99.0,99.0
1030734,91.0,91.0
1151873,69.95,69.95
545297,59.99,59.99
903539,130.0,130.0
1112088,64.5,64.5
1099922,82.45,82.45
1110488,64.98,64.98
1017001,114.98,114.98
1069972,109.97,109.97
1007314,59.45,59.45
1011651,83.3,83.3
453252,79.98,79.98
1111458,121.0,121.0
1139551,90.0,90.0
1119690,279.0,279.0
1111459,121.0,121.0
1081920,89.98,89.98
1111474,88.0,88.0
1087357,79.0,79.0
783277,99.98,99.98
1144854,65.0,65.0
1104811,75.0,75.0
1172560,550.0,550.0
1156508,299.0,299.0
1169058,249.0,249.0
989714,55.95,55.95
1143736,89.0,89.0
677412,72.0,72.0
1138323,299.0,299.0
787136,76.5,76.5
1089636,79.98,79.98
1198997,369.95,369.95
1113864,274.5,274.5
1081919,64.98,64.98
571430,199.0,199.0
1136314,99.95,99.95
1147618,90.0,90.0
1073231,139.95,139.95
1111469,121.0,121.0
1175206,249.0,249.0
1114385,180.0,180.0
1137219,269.0,269.0
1089632,89.97,89.97
1097689,149.0,149.0
1134556,198.0,198.0
896267,368.5,368.5
1097284,139.95,139.95
1117057,229.95,229.95
1111471,181.5,181.5
1102137,199.0,199.0
1074787,60.0,60.0
570036,239.2,239.2
1030735,71.5,71.5
829297,119.95,119.95
1141534,199.99,199.99
1123592,87.45,87.45
1114421,239.4,239.4
1198990,289.95,289.95
1158266,189.0,189.0
1111722,159.98,159.98
1067676,99.95,99.95
178270,160.0,160.0
1065491,65.0,65.0
1187071,299.0,299.0
1129858,174.5,174.5
1049350,56.0,56.0
1114379,110.0,110.0
1137272,239.0,239.0
1198994,239.95,239.95
1085697,89.99,89.99
1194416,149.95,149.95
1138737,30.0,30.0
991591,249.95,249.95
839567,169.95,169.95
906822,180.0,180.0
716174,199.0,199.0
1138324,229.0,229.0
1178816,99.5,99.5
1120922,129.99,129.99
1092080,190.0,190.0
1181982,180.0,180.0
1016047,99.99,99.99
1103537,184.5,184.5
1111781,149.5,149.5
1114381,250.0,250.0
178269,160.0,160.0
1162942,120.0,120.0
1110490,77.97,77.97
1113869,49.5,49.5
1098420,32.0,32.0
1133465,148.5,148.5
1178820,99.5,99.5
1198995,239.95,239.95
739572,199.99,199.99
1014866,121.0,121.0
1115655,149.5,149.5
1110558,199.0,199.0
1213838,64.5,64.5
996495,350.0,350.0
1099928,82.45,82.45
1140845,142.95,142.95
1178814,99.5,99.5
1175199,139.0,139.0
1098522,144.5,144.5
1160684,349.95,349.95
1156083,134.5,134.5
1003160,40.0,40.0
1029610,140.0,140.0
1049371,64.0,64.0
1168882,110.0,110.0
1094923,149.0,149.0
1100361,63.0,63.0
1209913,180.0,180.0
806323,220.0,220.0
1015502,129.99,129.99
1014668,90.0,90.0
1111724,299.95,299.95
1076996,97.99,97.99
1164765,99.95,99.95
1000617,149.0,149.0
1055824,180.0,180.0
1153365,239.0,239.0
1097287,179.95,179.95
1068770,75.0,75.0
1067700,129.95,129.95
1127969,77.97,77.97
1079737,80.0,80.0
410249,180.0,180.0
898872,71.98,71.98
1021751,108.0,108.0
797344,199.99,199.99
1104519,134.5,134.5
673289,110.0,110.0
1117266,169.0,169.0
1124181,164.98,164.98
1086543,149.95,149.95
1055799,180.0,180.0
592268,100.0,100.0
1092081,190.0,190.0
1181980,180.0,180.0
1086544,149.95,149.95
1141091,134.5,134.5
1076471,99.5,99.5
924303,349.0,349.0
1160681,299.95,299.95
1141082,134.5,134.5
1156099,134.5,134.5
571431,199.0,199.0
1076686,84.98,84.98
1212662,64.5,64.5
1129864,174.5,174.5
870404,59.98,59.98
775526,249.9,249.9
1114382,120.0,120.0
1151872,69.95,69.95
829269,299.95,299.95
1096143,233.4,233.4
1189758,99.0,99.0
864332,84.95,84.95
1149893,79.99,79.99
1104501,64.5,64.5
836492,50.0,50.0
930304,199.0,199.0
1139556,75.0,75.0
1198989,289.95,289.95
1124289,65.0,65.0
1189809,109.0,109.0
1106635,57.7,57.7
1164273,129.0,129.0
1111777,134.5,134.5
1206458,99.0,99.0
1089634,149.95,149.95
1071537,137.47,137.47
1011916,47.99,47.99
1156503,779.0,779.0
916606,229.95,229.95
1063760,95.6,95.6
1110377,374.5,374.5
1009634,131.45,131.45
1097693,119.0,119.0
1139552,90.0,90.0
1140831,181.95,181.95
580176,110.0,110.0
1014872,137.5,137.5
1014858,220.0,220.0
1105479,159.5,159.5
1139538,155.0,155.0
977779,220.0,220.0
1109326,249.0,249.0
1092073,120.0,120.0
1117394,339.0,339.0
1139548,80.0,80.0
1039894,53.99,53.99
1123573,137.4,137.4
1110765,85.48,85.48
1137372,249.0,249.0
1137371,74.98,74.98
1063762,79.6,79.6
1191155,349.0,349.0
1053934,159.0,159.0
1009624,128.0,128.0
1111455,245.0,245.0
1010231,70.0,70.0
1046179,179.0,179.0
1104919,164.5,164.5
1117913,159.0,159.0
1010224,44.0,44.0
1164260,109.0,109.0
1069599,148.45,148.45
1109392,60.5,60.5
1074882,89.0,89.0
1100368,120.0,120.0
1124216,100.0,100.0
1111456,121.0,121.0
1114383,200.0,200.0
1100321,140.0,140.0
1010219,120.0,120.0
1011653,83.3,83.3
1064921,183.2,183.2
1111462,110.0,110.0
996519,460.0,460.0
1139550,90.0,90.0
1014853,200.0,200.0
1023803,67.95,67.95
1111779,124.5,124.5
1110390,279.6,279.6
1119099,142.45,142.45
1115754,336.0,336.0
1215645,349.0,349.0
1200137,299.0,299.0
1140058,140.0,140.0
963784,99.0,99.0
1115773,112.0,112.0
1160682,219.95,219.95
1215648,349.0,349.0
930608,54.0,54.0
1175417,109.95,109.95
1051109,95.99,95.99
1072143,105.0,105.0
996096,82.5,82.5
918348,149.0,149.0
1141751,80.0,80.0
1063748,95.6,95.6
1072149,82.5,82.5
1070911,179.97,179.97
1111442,136.0,136.0
546237,65.97,65.97
1039888,53.99,53.99
1141753,80.0,80.0
1068779,55.0,55.0
1215000,169.0,169.0
1105476,174.5,174.5
1081922,71.47,71.47
1139541,140.0,140.0
1111476,64.0,64.0
954466,129.95,129.95
1148564,139.95,139.95
954463,119.95,119.95
1148562,139.95,139.95
989738,159.95,159.95
1068372,209.0,209.0
1146219,159.99,159.99
830047,239.0,239.0
954464,159.95,159.95
1090693,109.95,109.95
1200510,239.0,239.0
771036,209.0,209.0
1072592,169.95,169.95
996028,69.99,69.99
989554,129.95,129.95
989737,159.95,159.95
1025629,239.0,239.0
771034,339.0,339.0
1068373,239.0,239.0
771033,229.0,229.0
517836,99.95,99.95
1083629,154.0,154.0
378771,99.95,99.95
1101046,169.95,169.95
989736,149.95,149.95
1046157,119.2,119.2
1103970,179.95,179.95
989550,129.95,129.95
1115158,69.99,69.99
1072326,71.98,71.98
402326,99.95,99.95
1072426,71.98,71.98
1161772,99.95,99.95
1071526,62.98,62.98
661712,129.95,129.95
1025627,209.0,209.0
562460,129.95,129.95
1089617,149.95,149.95
790795,52.0,52.0
1035871,32.0,32.0
1072322,82.47,82.47
1035869,32.0,32.0
1072579,95.97,95.97
1104007,59.99,59.99
965137,89.0,89.0
1072582,84.98,84.98
957928,189.95,189.95
989739,159.95,159.95
1025630,114.5,114.5
1112220,129.95,129.95
1071528,139.95,139.95
1162933,90.0,90.0
1025631,209.0,209.0
135942,99.95,99.95
581280,129.95,129.95
970994,239.0,239.0
1072576,71.98,71.98
1119257,69.99,69.99
592370,129.95,129.95
1077557,167.3,167.3
1070894,85.48,85.48
1104216,99.95,99.95
661714,71.47,71.47
1157098,129.95,129.95
1001183,49.98,49.98
523629,99.95,99.95
957931,159.95,159.95
866327,69.99,69.99
994959,48.0,48.0
989552,129.95,129.95
661706,129.95,129.95
661707,64.98,64.98
1139826,249.0,249.0
1112226,119.95,119.95
1071532,149.95,149.95
1089607,49.98,49.98
1001109,44.98,44.98
1035827,28.0,28.0
989740,149.95,149.95
1139827,167.3,167.3
581311,129.95,129.95
1001111,99.95,99.95
1119647,119.2,119.2
851138,99.95,99.95
1000515,84.47,84.47
902252,143.4,143.4
630218,79.96,79.96
1069297,62.98,62.98
576267,99.95,99.95
1090491,149.95,149.95
1162947,90.0,90.0
1104212,109.95,109.95
661686,129.95,129.95
1021891,67.48,67.48
1203965,96.0,96.0
989551,149.95,149.95
1112227,119.95,119.95
1104215,99.95,99.95
1021889,139.95,139.95
970995,195.3,195.3
829928,79.95,79.95
957924,179.95,179.95
730926,119.95,119.95
1136744,83.97,83.97
878588,99.99,99.99
1072325,74.98,74.98
1072319,149.95,149.95
1148555,129.95,129.95
1161793,74.98,74.98
930465,119.95,119.95
1089608,67.48,67.48
711011,99.95,99.95
1090917,159.99,159.99
1046444,149.0,149.0
1211965,189.0,189.0
1148563,139.95,139.95
971011,119.5,119.5
1158058,79.0,79.0
1023781,89.95,89.95
965135,89.0,89.0
30690,99.95,99.95
1158059,79.0,79.0
1009218,179.95,179.95
1119258,69.99,69.99
1001108,76.97,76.97
1081222,127.99,127.99
813730,149.99,149.99
1112219,99.95,99.95
1162946,90.0,90.0
1035825,32.0,32.0
1001182,49.98,49.98
1090953,129.99,129.99
972881,99.99,99.99
523628,129.95,129.95
1139823,167.3,167.3
1090961,129.99,129.99
1009235,179.95,179.95
1146555,99.5,99.5
1065090,89.99,89.99
630217,79.96,79.96
504348,119.95,119.95
1089601,90.97,90.97
1069359,54.98,54.98
1072327,87.97,87.97
1108353,99.0,99.0
1112229,99.95,99.95
1069360,65.97,65.97
1130402,129.95,129.95
1110368,179.0,179.0
1071529,62.98,62.98
1141546,99.99,99.99
1072580,103.97,103.97
1072573,71.98,71.98
957922,159.95,159.95
1115064,99.95,99.95
957925,159.95,159.95
1186014,49.99,49.99
730924,99.95,99.95
402325,99.95,99.95
901879,64.98,64.98
1076972,215.4,215.4
1069298,82.47,82.47
1006617,89.98,89.98
965136,89.0,89.0
661713,129.95,129.95
1077555,239.0,239.0
973071,99.99,99.99
1065708,62.98,62.98
1141551,99.99,99.99
1121054,64.98,64.98
1138733,49.99,49.99
1111712,93.47,93.47
1026872,100.0,100.0
1111710,84.98,84.98
1073842,55.0,55.0
1001107,44.98,44.98
711022,119.95,119.95
1124108,119.97,119.97
1063599,40.0,40.0
1156509,259.0,259.0
1112225,99.95,99.95
973053,99.99,99.99
1112228,119.95,119.95
1089600,74.98,74.98
1078841,104.5,104.5
1130618,83.97,83.97
1023808,31.48,31.48
1069299,64.98,64.98
584205,100.0,100.0
1070906,179.95,179.95
1071347,59.98,59.98
1081929,127.99,127.99
1138732,59.99,59.99
1043216,99.95,-1.0
994946,28.0,28.0
1103264,60.0,60.0
661992,64.98,64.98
1069300,77.97,77.97
1069364,65.97,65.97
954468,52.48,52.48
1007527,41.99,41.99
994947,22.35,22.35
1100657,99.99,99.99
899317,129.99,129.99
1102074,229.0,229.0
1067714,99.95,99.95
1139828,160.3,160.3
1063700,230.0,230.0
1108342,139.0,139.0
1072574,103.97,103.97
850422,71.97,71.97
902375,52.48,52.48
960839,109.99,109.99
1165681,109.95,109.95
1065460,69.0,69.0
1090923,149.99,149.99
1110367,179.0,179.0
1103820,139.95,139.95
939509,119.95,119.95
1100663,139.99,139.99
1151875,169.95,169.95
1122062,83.97,83.97
1103974,169.95,169.95
1076956,239.4,239.4
1026003,124.5,124.5
1138933,259.0,259.0
939511,109.95,109.95
1148556,139.95,139.95
957923,169.95,169.95
1089606,83.97,83.97
1090780,129.99,129.99
1094240,179.0,179.0
1090958,149.95,149.95
1072575,118.97,118.97
1072578,169.95,169.95
1156492,259.0,259.0
711026,109.95,109.95
1136745,69.98,69.98
1063723,349.0,349.0
1192728,119.99,119.99
1090704,89.95,89.95
1064911,119.2,119.2
939507,109.95,109.95
1131473,90.99,90.99
1136746,64.98,64.98
1095916,109.0,109.0
1165678,109.95,109.95
1108371,89.0,89.0
1094247,179.0,179.0
1065459,69.0,69.0
711012,119.95,119.95
944097,143.99,143.99
1090696,89.95,89.95
393867,329.0,329.0
950411,280.0,280.0
1090919,159.99,159.99
1166290,96.0,96.0
1100643,159.99,159.99
1082692,104.3,104.3
1075157,119.2,119.2
1063725,200.0,200.0
993130,329.0,329.0
1063510,99.95,99.95
933155,58.47,58.47
1006618,179.95,179.95
672649,79.96,79.96
1193330,55.0,55.0
1146556,84.5,84.5
1025634,249.0,249.0
1112230,99.95,99.95
1096722,200.0,200.0
775405,99.95,99.95
1065715,139.95,139.95
813818,75.0,75.0
1047924,380.0,380.0
888958,119.99,119.99
1164952,219.0,219.0
1069361,109.95,109.95
1151874,199.95,199.95
1090707,109.95,109.95
1142727,129.95,129.95
957927,179.95,179.95
1134872,99.95,99.95
1027774,100.0,100.0
1108370,89.0,89.0
994948,28.0,28.0
1009113,129.95,129.95
1000510,149.95,149.95
1146220,169.99,169.99
1121053,71.47,71.47
1071527,139.95,139.95
1111717,174.97,174.97
1016992,111.97,111.97
1054205,100.0,100.0
711015,109.95,109.95
1081221,127.99,127.99
1103005,202.97,202.97
691477,79.99,79.99
1003853,99.95,99.95
957926,159.95,159.95
1081223,127.99,127.99
1115100,119.95,119.95
791023,82.47,82.47
1082691,52.15,52.15
581278,129.95,129.95
1070907,189.95,189.95
1071512,89.0,89.0
1120836,83.97,83.97
1103261,90.99,90.99
1216474,99.95,99.95
1184611,159.99,159.99
1141416,59.99,59.99
1056432,83.97,83.97
813709,75.0,75.0
1104862,161.0,161.0
1096130,169.0,169.0
887970,318.0,318.0
995690,100.0,100.0
1116395,97.3,97.3
1090954,129.99,129.99
1065714,55.98,55.98
1103818,149.95,149.95
999702,119.95,119.95
1065811,41.98,41.98
661708,90.97,90.97
1009112,129.95,129.95
1204506,79.99,79.99
1108343,159.0,159.0
821460,39.98,39.98
1163720,199.0,199.0
957944,62.98,62.98
1166477,130.0,130.0
1083316,159.0,159.0
1061482,159.0,159.0
771039,239.0,239.0
1057887,380.0,380.0
1100661,149.99,149.99
1043054,194.95,194.95
1090344,129.99,129.99
1110339,129.99,129.99
1069362,109.95,109.95
1090772,149.99,149.99
1065089,119.99,119.99
1057846,270.0,270.0
1090870,139.99,139.99
1180838,180.0,180.0
1174448,150.0,150.0
1082876,119.0,119.0
828532,49.95,49.95
1083314,159.0,159.0
1180841,180.0,180.0
1047941,490.0,490.0
1074822,169.95,169.95
1082875,119.0,119.0
456244,100.0,100.0
897412,490.0,490.0
1100640,149.99,149.99
1183780,119.99,119.99
1114323,219.95,219.95
1107751,99.99,99.99
1192701,119.99,119.99
1090769,104.99,104.99
1100644,149.99,149.99
1090920,159.99,159.99
1090341,129.99,129.99
1108352,99.0,99.0
1168784,159.95,159.95
1103979,159.95,159.95
1046440,149.0,149.0
1065088,119.99,119.99
1074820,239.95,239.95
1139829,229.0,229.0
1192683,109.99,109.99
1100309,149.99,149.99
1090952,149.99,149.99
939506,109.95,109.95
1108344,139.0,139.0
1090346,129.99,129.99
1025200,230.0,230.0
972840,99.99,99.99
1061512,159.0,159.0
902245,170.0,170.0
1111726,219.95,219.95
1134910,99.95,99.95
1084022,159.0,159.0
973060,99.99,99.99
1174449,140.0,140.0
939508,99.95,99.95
1165677,109.95,109.95
1025178,490.0,490.0
1104906,250.0,250.0
1108240,100.0,100.0
882148,200.0,200.0
544282,100.0,100.0
1166294,96.0,96.0
939510,109.95,109.95
1191631,76.97,76.97
1165009,409.0,409.0
1100660,149.99,149.99
556709,159.0,159.0
1114324,219.95,219.95
1090251,139.99,139.99
1158280,159.0,159.0
1090343,129.99,129.99
1074816,289.95,289.95
1074817,259.95,259.95
556664,159.0,159.0
1104875,250.0,250.0
1095917,109.0,109.0
1089325,560.0,560.0
792649,159.0,159.0
1170758,109.95,109.95
1065458,119.2,119.2
822617,100.0,100.0
1069799,149.0,149.0
1077558,239.0,239.0
1111716,199.95,199.95
1073340,100.0,100.0
1001922,230.0,230.0
1023782,89.95,89.95
1072577,79.98,79.98
887969,355.0,355.0
872648,490.0,490.0
1138932,275.0,275.0
957921,179.95,179.95
1026004,239.0,239.0
1166476,130.0,130.0
1063708,230.0,230.0
1119988,180.0,180.0
1063726,349.0,349.0
584175,100.0,100.0
1076784,99.0,99.0
1141746,64.98,64.98
958501,59.0,59.0
601320,149.0,149.0
1089700,99.0,99.0
1120583,79.0,79.0
1137389,149.95,149.95
1120020,89.0,89.0
1137386,149.95,149.95
1120028,270.0,270.0
1147848,249.95,249.95
1141741,64.98,64.98
1141738,64.98,64.98
1129863,49.5,49.5
1156539,149.0,149.0
1141739,64.98,64.98
1071358,89.99,89.99
1141744,71.47,71.47
1123485,89.0,89.0
1120584,79.0,79.0
1147078,69.97,69.97
831406,79.95,79.95
1085549,49.95,49.95
1110769,58.47,58.47
601319,149.0,149.0
1207226,89.99,89.99
1141745,64.98,64.98
1198499,189.0,189.0
1104602,49.5,49.5
1125012,98.95,98.95
1108313,119.0,119.0
601321,149.0,149.0
1110421,116.35,116.35
1141743,64.98,64.98
1107109,169.0,169.0
802886,47.97,47.97
1125011,98.95,98.95
955277,149.0,149.0
1125119,30.0,30.0
1123486,89.0,89.0
640425,139.0,139.0
1138746,119.99,119.99
1138745,119.99,119.99
1125612,79.99,79.99
1105104,50.0,50.0
1147481,195.0,195.0
1010098,71.97,71.97
863264,179.0,179.0
1097293,126.45,126.45
1077402,69.0,69.0
1138738,23.99,23.99
1069617,98.95,98.95
1067709,49.95,49.95
1110768,44.98,44.98
960027,59.0,59.0
1067753,49.95,49.95
1104606,49.5,49.5
1143667,59.0,59.0
1113861,49.5,49.5
1104605,49.5,49.5
1104604,49.5,49.5
1125015,98.95,98.95
1111778,49.5,49.5
802885,47.97,47.97
1060143,20.0,20.0
1200201,49.95,49.95
1143662,59.0,59.0
1034098,148.85,148.85
1089023,69.0,69.0
542806,24.0,24.0
1125013,82.45,82.45
1200133,49.95,49.95
1092337,79.95,79.95
993031,69.0,69.0
1200329,49.95,49.95
1130639,65.97,65.97
666197,30.0,30.0
1151310,259.0,259.0
775252,24.45,24.45
775254,27.95,27.95
1147826,199.95,199.95
1104885,185.0,185.0
1010112,64.97,64.97
1098880,79.0,79.0
1198498,259.0,259.0
1073445,249.95,249.95
1120042,348.0,348.0
1099968,69.0,69.0
1152003,79.0,79.0
1082003,259.35,259.35
1125116,41.99,41.99
1149392,79.0,79.0
1137224,79.0,79.0
1147482,192.0,192.0
542807,24.0,24.0
1118169,79.0,79.0
972209,59.0,59.0
1200223,49.95,49.95
1129862,54.5,54.5
1123270,115.0,115.0
967073,59.0,59.0
1147077,99.95,99.95
1149167,79.0,79.0
1073463,249.95,249.95
1149160,79.0,79.0
1183386,89.99,89.99
925936,59.0,59.0
1109258,64.98,64.98
1156510,229.0,229.0
1137227,79.0,79.0
1125044,119.2,119.2
972207,59.0,59.0
744097,19.75,19.75
490849,299.95,299.95
1200134,49.95,49.95
1123997,99.95,99.95
1067705,29.95,29.95
640428,139.0,139.0
1160381,89.99,89.99
1076169,69.0,69.0
654250,199.0,199.0
958479,59.0,59.0
1200173,49.95,49.95
1066119,49.0,49.0
1097691,89.0,89.0
1067526,59.0,59.0
1066116,49.0,49.0
1069383,149.0,149.0
962950,59.0,59.0
1120045,348.0,348.0
1191767,119.0,119.0
1085584,59.95,59.95
1060145,17.5,17.5
1085577,49.95,49.95
1033697,64.98,64.98
1128515,89.99,89.99
1134202,169.0,169.0
1200161,49.95,49.95
1078845,95.0,95.0
1129861,54.5,54.5
542803,24.0,24.0
1085585,59.95,59.95
1134208,169.0,169.0
1147064,59.97,59.97
1060142,16.0,16.0
1053559,29.95,29.95
1112738,49.5,49.5
1079552,285.0,285.0
1143665,59.0,59.0
1135467,107.4,107.4
610107,179.0,179.0
1111408,139.5,139.5
989899,69.0,69.0
831414,79.95,79.95
1141742,64.98,64.98
1200297,49.95,49.95
1085572,79.95,79.95
1060147,17.5,17.5
1076170,69.0,69.0
1080633,47.98,47.98
1124147,134.98,134.98
1010099,59.97,59.97
1076973,229.5,229.5
1135469,79.6,79.6
1200253,49.95,49.95
1073442,249.95,249.95
1067851,56.0,56.0
1096125,118.3,118.3
1067853,56.0,56.0
1034093,89.5,89.5
1080765,101.4,101.4
959500,59.0,59.0
1073421,99.95,99.95
1116398,104.3,104.3
1045942,69.0,69.0
1053555,29.95,29.95
1143670,59.0,59.0
1067736,79.95,79.95
1053239,26.99,26.99
1065804,34.98,34.98
1140377,34.99,34.99
1099966,69.0,69.0
1200123,49.95,49.95
1123309,119.0,119.0
1016362,89.99,89.99
1180843,100.0,100.0
1201458,89.99,89.99
1111951,79.99,79.99
1096315,130.0,130.0
1007379,70.0,70.0
1096093,130.0,130.0
1118177,79.0,79.0
1156513,579.0,579.0
1143982,79.95,79.95
878683,74.5,74.5
981246,69.0,69.0
1151323,289.0,289.0
1120625,79.0,79.0
1200139,49.95,49.95
654257,199.0,199.0
1120019,79.0,79.0
1046445,149.0,149.0
1180844,140.0,140.0
841144,69.99,69.99
1071359,89.99,89.99
1120684,79.0,79.0
826975,130.0,130.0
1180845,100.0,100.0
1067529,59.0,59.0
1125042,55.99,55.99
649855,49.0,49.0
1075156,99.0,99.0
1096252,69.0,69.0
897345,400.0,400.0
1198505,299.0,299.0
1096316,130.0,130.0
1125623,190.0,190.0
1177470,249.0,249.0
1020558,59.99,59.99
878680,74.5,74.5
654255,199.0,199.0
1038911,79.99,79.99
1126663,89.99,89.99
1143984,79.95,79.95
1096163,130.0,130.0
1149159,79.0,79.0
966144,69.0,69.0
1085462,440.0,440.0
632310,149.0,149.0
1198501,189.0,189.0
1149164,79.0,79.0
1201460,89.99,89.99
1125045,119.2,119.2
1123984,109.95,109.95
1096114,130.0,130.0
1147854,279.95,279.95
1093020,99.99,99.99
1123308,119.0,119.0
1138243,89.99,89.99
981637,59.0,59.0
1149168,79.0,79.0
1212165,99.99,99.99
646237,59.0,59.0
1070921,95.97,95.97
1123717,119.95,119.95
1015337,79.99,79.99
1137225,79.0,79.0
1103748,89.0,89.0
1125667,95.0,95.0
1200179,49.95,49.95
1138885,79.0,79.0
1149166,79.0,79.0
1015345,79.99,79.99
1106617,325.0,325.0
1098879,79.0,79.0
1119408,159.0,159.0
1061088,59.0,59.0
1123993,89.95,89.95
1147847,249.95,249.95
1124558,219.0,219.0
1099967,69.0,69.0
1027234,149.9,149.9
1096092,130.0,130.0
1172634,110.0,110.0
960018,59.0,59.0
1137387,149.95,149.95
1096164,130.0,130.0
663682,129.0,129.0
1098878,79.0,79.0
1099045,79.99,79.99
1067017,59.0,59.0
1089355,940.0,940.0
1069805,179.0,179.0
1129860,49.5,49.5
646224,139.0,139.0
1079551,294.0,294.0
1015354,79.99,79.99
1121514,79.0,79.0
1096090,130.0,130.0
1119978,140.0,140.0
1123716,119.95,119.95
1162674,219.0,219.0
490847,299.95,299.95
1119977,140.0,140.0
962948,59.0,59.0
1124004,109.95,109.95
1203245,89.99,89.99
1151311,519.0,519.0
1096253,69.0,69.0
637446,249.0,249.0
1123994,89.95,89.95
1020479,59.99,59.99
1210276,99.99,99.99
1136112,89.99,89.99
1123983,109.95,109.95
1089350,380.0,380.0
1096296,130.0,130.0
826984,130.0,130.0
1143983,79.95,79.95
988376,69.0,69.0
895853,249.0,249.0
1124011,119.95,119.95
1089336,370.0,370.0
1076943,194.35,194.35
1069385,149.0,149.0
1114308,249.0,249.0
621960,199.0,199.0
1069810,179.0,179.0
1078538,110.0,110.0
1171237,219.0,219.0
1162677,439.0,439.0
640429,139.0,139.0
1135468,199.0,199.0
1148176,279.0,279.0
1089022,69.0,69.0
1089354,760.0,760.0
872635,550.0,550.0
1064116,770.0,770.0
863280,199.0,199.0
897333,490.0,490.0
1143981,79.95,79.95
1137392,159.95,159.95
1096317,130.0,130.0
