href,href_url,Brand,Item,is_men
1117020,/vintage-princeton-sweatshirt-1117020.html,Dickies,Vintage Princeton Sweatshirt,True
1143049,/retro-blur-hoodie-lakers-1143049.html,Mitchell &amp; Ness,Retro Blur Hoodie - Lakers,True
1101871,/logo-full-zip-hoodie-1101871.html,Calvin Klein Performance,Logo Full-Zip Hoodie,True
1090095,/alton-ave-sweat-1090095.html,Rodd &amp; Gunn,Alton Ave Sweat,True
1101786,/ck-large-regular-crew-neck-sweatshirt-1101786.html,Calvin Klein Jeans,CK Large Regular Crew Neck Sweatshirt,True
919683,/foresters-peak-sweat-919683.html,Rodd &amp; Gunn,Foresters Peak Sweat,True
1177417,/superdry-halftone-kanji-embossed-hoodie-1177417.html,Superdry,Superdry Halftone Kanji Embossed Hoodie,True
1105469,/wrap-around-croc-crew-neck-sweater-1105469.html,Lacoste,Wrap-Around Croc Crew Neck Sweater,True
1049997,/bowery-miller-standard-crew-sweater-1049997.html,Saturdays NYC,Bowery Miller Standard Crew Sweater,True
1189448,/collective-crew-1189448.html,Superdry,Collective Crew,True
1156450,/rtg-track-hoodie-1156450.html,Puma,RTG Track Hoodie,True
1165005,/s-alby-s2-hoodie-1165005.html,Diesel,S-Alby-S2 Hoodie,True
1081997,/crew-neck-sweatshirt-1081997.html,C.P. Company,Crew Neck Sweatshirt,True
1189385,/core-logo-faux-suede-crew-1189385.html,Superdry,Core Logo Faux Suede Crew,True
471527,/pullover-hoodie-471527.html,Reigning Champ,Pullover Hoodie,True
1069598,/elemental-long-sleeve-zip-men-s-1069598.html,Icebreaker,Elemental Long Sleeve Zip - Men's,True
1098446,/training-essentials-logo-hoodie-1098446.html,Reebok Performance,Training Essentials Logo Hoodie,True
1010136,/logo-hoodie-1010136.html,Ben Sherman,Logo Hoodie,True
1114370,/tokyo-hoodie-1114370.html,Helly Hansen,Tokyo Hoodie,True
1143669,/surplus-goods-graphic-hoodie-1143669.html,Superdry,Surplus Goods Graphic Hoodie,True
1063749,/rony-zip-tech-hoodie-1063749.html,Picture,Rony Zip Tech Hoodie,True
1074790,/mens-adapt-half-zip-hoodie-1074790.html,Quiksilver,Mens Adapt Half Zip Hoodie,True
746815,/essential-big-logo-fleece-hoodie-746815.html,Puma,Essential Big Logo Fleece Hoodie,True
1016935,/hh-logo-crew-sweat-men-s-1016935.html,Helly Hansen,HH Logo Crew Sweat - Men's,True
1110350,/tour-ls-crew-sweater-1110350.html,Sunnyville,Tour LS Crew Sweater,True
1103541,/tommy-flag-hilfiger-sweatshirt-1103541.html,Tommy Hilfiger,Tommy Flag Hilfiger Sweatshirt,True
998435,/3-stripes-half-zip-hoodie-998435.html,adidas Originals,3-Stripes Half-Zip Hoodie,True
1102023,/tonal-logo-mock-neck-sweater-1102023.html,Tommy Jeans,Tonal Logo Mock Neck Sweater,True
1006638,/organic-crew-sweat-unisex-1006638.html,AERE,Organic Crew Sweat - Unisex,True
1186863,/nb-athletics-village-fleece-pullover-1186863.html,New Balance,NB Athletics Village Fleece Pullover,True
1120033,/kenzo-logo-bicolour-sweatshirt-1120033.html,Kenzo,Kenzo Logo Bicolour Sweatshirt,True
1104890,/felpa-hoodie-1104890.html,Armani Exchange,Felpa Hoodie,True
1102098,/tjm-tie-dye-crew-sweatshirt-1102098.html,Tommy Jeans,TJM Tie-Dye Crew Sweatshirt,True
1143682,/copper-label-crew-1143682.html,Superdry,Copper Label Crew,True
1199003,/hooded-chase-sweatshirt-1199003.html,Carhartt,Hooded Chase Sweatshirt,True
1103536,/varsity-sweatshirt-1103536.html,Tommy Hilfiger,Varsity Sweatshirt,True
756650,/must-have-badge-of-sport-crew-french-terry-sweat-men-s-756650.html,adidas Performance,Must Have Badge Of Sport Crew French Terry Sweat - Men's,True
1092070,/hoodie-1092070.html,adidas Originals,Hoodie,True
994066,/league-oth-hoodie-994066.html,Majestic,League OTH Hoodie,True
1101441,/medium-shield-crew-sweater-1101441.html,Gant,Medium Shield Crew Sweater,True
1099914,/gym-tech-hybrid-jacket-1099914.html,Superdry Sport,Gym Tech Hybrid Jacket,True
1013534,/panelled-sherpa-hoodie-1013534.html,Russell Athletic,Panelled Sherpa Hoodie,True
655321,/essential-fleece-big-logo-hoodie-655321.html,Puma,Essential Fleece Big Logo Hoodie,True
1118118,/cupacci-core-hoodie-1118118.html,Ellesse,Cupacci Core Hoodie,True
1160703,/lightweight-synch-snap-t-pullover-1160703.html,Patagonia,Lightweight Synch Snap-T Pullover,True
